Date,Time ,X,Y,Z
2023-02-25 18:54:30.447,"Time: 71 ms, ",20.01,-97.84,-7.14
2023-02-25 18:54:30.517,"Time: 71 ms, ",16.91,-100.78,-12.95
2023-02-25 18:54:30.588,"Time: 70 ms, ",18.87,-100.63,-13.23
2023-02-25 18:54:30.659,"Time: 71 ms, ",19.9,-97.64,-12.57
2023-02-25 18:54:30.729,"Time: 71 ms, ",18.07,-97.25,-10.83
2023-02-25 18:54:30.800,"Time: 70 ms, ",17.65,-100.6,-14.23
2023-02-25 18:54:30.871,"Time: 71 ms, ",17.81,-100.07,-11.84
2023-02-25 18:54:30.942,"Time: 71 ms, ",19.06,-97.39,-12.21
2023-02-25 18:54:31.012,"Time: 71 ms, ",18.43,-98.72,-13.76
2023-02-25 18:54:31.083,"Time: 70 ms, ",17.58,-97.91,-12.37
2023-02-25 18:54:31.154,"Time: 71 ms, ",21.55,-99.89,-12.65
2023-02-25 18:54:31.224,"Time: 71 ms, ",18.09,-99.05,-10.4
2023-02-25 18:54:31.295,"Time: 70 ms, ",15.66,-101.54,-12.16
2023-02-25 18:54:31.366,"Time: 71 ms, ",18.1,-99.73,-13.53
2023-02-25 18:54:31.436,"Time: 71 ms, ",17.41,-100.99,-11.6
2023-02-25 18:54:31.507,"Time: 71 ms, ",18.24,-95.65,-13.06
2023-02-25 18:54:31.578,"Time: 70 ms, ",17.6,-102.86,-16.09
2023-02-25 18:54:31.649,"Time: 71 ms, ",17.57,-96.03,-12.37
2023-02-25 18:54:31.719,"Time: 71 ms, ",19.35,-96.64,-11.05
2023-02-25 18:54:31.790,"Time: 70 ms, ",17.43,-100.65,-7.86
2023-02-25 18:54:31.861,"Time: 71 ms, ",15.91,-101.4,-13.88
2023-02-25 18:54:31.931,"Time: 71 ms, ",17.11,-101.16,-15.27
2023-02-25 18:54:32.002,"Time: 70 ms, ",17.3,-101.14,-11.43
2023-02-25 18:54:32.073,"Time: 71 ms, ",19.36,-100.74,-11.24
2023-02-25 18:54:32.143,"Time: 71 ms, ",16.89,-102.04,-12.9
2023-02-25 18:54:32.214,"Time: 71 ms, ",18.04,-100,-13.23
2023-02-25 18:54:32.284,"Time: 70 ms, ",18.42,-97.49,-13.44
2023-02-25 18:54:32.356,"Time: 71 ms, ",17.48,-99.17,-10.13
2023-02-25 18:54:32.426,"Time: 71 ms, ",17.68,-100.9,-12.43
2023-02-25 18:54:32.497,"Time: 70 ms, ",20.76,-102.88,-14.87
2023-02-25 18:54:32.568,"Time: 71 ms, ",15.15,-103.42,-9.79
2023-02-25 18:54:32.638,"Time: 71 ms, ",20.86,-94.56,-12.78
2023-02-25 18:54:32.709,"Time: 71 ms, ",18.55,-98.68,-11.88
